year,m,d,temp
1995,9,1,18.0
1995,9,2,16.9
1995,9,3,15.5
1995,9,4,18.3
1995,9,5,14.4
1995,9,6,16.4
1995,9,7,20.7
1995,9,8,17.2
1995,9,9,16.8
1995,9,10,18.0
1995,9,11,15.4
1995,9,12,18.1
1995,9,13,17.6
1995,9,14,17.9
1995,9,15,17.0
1995,9,16,18.0
1995,9,17,18.6
1995,9,18,19.1
1995,9,19,18.8
1995,9,20,17.9
1995,9,21,15.6
1995,9,22,15.2
1995,9,23,16.6
1995,9,24,13.7
1995,9,25,15.9
1995,9,26,14.6
1995,9,27,11.0
1995,9,28,12.1
1995,9,29,13.6
1995,9,30,14.6
1995,10,1,14.8
1995,10,2,15.3
1995,10,3,15.1
1995,10,4,16.2
1995,10,5,14.4
1995,10,6,16.2
1995,10,7,17.2
1995,10,8,22.0
1995,10,9,18.6
1995,10,10,16.5
1995,10,11,17.3
1995,10,12,16.7
1995,10,13,15.4
1995,10,14,18.4
1995,10,15,15.1
1995,10,16,16.7
1995,10,17,16.0
1995,10,18,12.8
1995,10,19,14.0
1995,10,20,13.5
1995,10,21,12.1
1995,10,22,13.6
1995,10,23,16.2
1995,10,24,17.6
1995,10,25,13.5
1995,10,26,14.6
1995,10,27,12.0
1995,10,28,11.3
1995,10,29,11.7
1995,10,30,13.3
1995,10,31,14.3
1995,11,1,13.0
1995,11,2,11.5
1995,11,3,9.8
1995,11,4,9.4
1995,11,5,9.5
1995,11,6,9.5
1995,11,7,12.1
1995,11,8,12.8
1995,11,9,9.3
1995,11,10,10.4
1995,11,11,13.1
1995,11,12,12.9
1995,11,13,11.9
1995,11,14,12.1
1995,11,15,11.9
1995,11,16,5.2
1995,11,17,4.2
1995,11,18,6.8
1995,11,19,9.7
1995,11,20,9.9
1995,11,21,9.8
1995,11,22,10.9
1995,11,23,11.6
1995,11,24,10.9
1995,11,25,8.9
1995,11,26,9.8
1995,11,27,9.3
1995,11,28,8.6
1995,11,29,10.6
1995,11,30,7.5
1995,12,1,8.6
1995,12,2,12.0
1995,12,3,12.1
1995,12,4,6.9
1995,12,5,4.5
1995,12,6,3.4
1995,12,7,1.1
1995,12,8,3.2
1995,12,9,6.9
1995,12,10,7.0
1995,12,11,7.6
1995,12,12,8.1
1995,12,13,7.0
1995,12,14,6.0
1995,12,15,4.7
1995,12,16,6.5
1995,12,17,6.0
1995,12,18,4.9
1995,12,19,5.3
1995,12,20,1.6
1995,12,21,4.7
1995,12,22,5.9
1995,12,23,3.2
1995,12,24,2.1
1995,12,25,1.0
1995,12,26,-1.4
1995,12,27,-1.4
1995,12,28,0.2
1995,12,29,0.1
1995,12,30,2.3
1995,12,31,3.2
1996,1,1,5.3
1996,1,2,7.3
1996,1,3,7.4
1996,1,4,8.1
1996,1,5,7.4
1996,1,6,9.0
1996,1,7,9.7
1996,1,8,10.8
1996,1,9,10.9
1996,1,10,8.4
1996,1,11,9.4
1996,1,12,10.7
1996,1,13,10.0
1996,1,14,10.4
1996,1,15,11.1
1996,1,16,9.1
1996,1,17,8.4
1996,1,18,7.9
1996,1,19,7.2
1996,1,20,3.9
1996,1,21,2.3
1996,1,22,3.6
1996,1,23,3.0
1996,1,24,2.5
1996,1,25,1.2
1996,1,26,1.1
1996,1,27,1.0
1996,1,28,1.7
1996,1,29,2.1
1996,1,30,2.4
1996,1,31,1.3
1996,2,1,5.3
1996,2,2,3.7
1996,2,3,4.9
1996,2,4,3.3
1996,2,5,1.6
1996,2,6,-1.2
1996,2,7,0.1
1996,2,8,4.2
1996,2,9,6.8
1996,2,10,6.2
1996,2,11,5.8
1996,2,12,5.4
1996,2,13,5.3
1996,2,14,5.0
1996,2,15,7.0
1996,2,16,7.7
1996,2,17,7.4
1996,2,18,5.6
1996,2,19,3.3
1996,2,20,3.1
1996,2,21,3.2
1996,2,22,6.5
1996,2,23,5.8
1996,2,24,7.4
1996,2,25,5.4
1996,2,26,5.2
1996,2,27,9.4
1996,2,28,8.6
1996,2,29,8.9
1996,3,1,9.8
1996,3,2,9.0
1996,3,3,9.0
1996,3,4,10.0
1996,3,5,7.5
1996,3,6,9.6
1996,3,7,9.7
1996,3,8,6.1
1996,3,9,7.4
1996,3,10,9.1
1996,3,11,7.1
1996,3,12,1.4
1996,3,13,1.3
1996,3,14,3.1
1996,3,15,3.6
1996,3,16,3.0
1996,3,17,6.6
1996,3,18,6.4
1996,3,19,6.2
1996,3,20,5.8
1996,3,21,8.0
1996,3,22,6.1
1996,3,23,10.3
1996,3,24,7.0
1996,3,25,6.9
1996,3,26,8.0
1996,3,27,5.5
1996,3,28,7.8
1996,3,29,8.3
1996,3,30,6.5
1996,3,31,7.6
1996,4,1,5.8
1996,4,2,8.8
1996,4,3,10.0
1996,4,4,10.4
1996,4,5,12.2
1996,4,6,10.7
1996,4,7,8.4
1996,4,8,12.5
1996,4,9,15.8
1996,4,10,8.9
1996,4,11,12.2
1996,4,12,3.4
1996,4,13,6.4
1996,4,14,9.9
1996,4,15,14.5
1996,4,16,13.2
1996,4,17,11.3
1996,4,18,10.0
1996,4,19,14.0
1996,4,20,16.3
1996,4,21,18.8
1996,4,22,13.3
1996,4,23,12.0
1996,4,24,8.8
1996,4,25,10.0
1996,4,26,14.3
1996,4,27,11.4
1996,4,28,11.7
1996,4,29,9.7
1996,4,30,10.2
1996,5,1,10.5
1996,5,2,8.6
1996,5,3,9.1
1996,5,4,9.7
1996,5,5,9.7
1996,5,6,11.7
1996,5,7,11.7
1996,5,8,13.5
1996,5,9,10.5
1996,5,10,11.6
1996,5,11,9.0
1996,5,12,11.4
1996,5,13,13.1
1996,5,14,15.9
1996,5,15,12.1
1996,5,16,10.0
1996,5,17,9.8
1996,5,18,11.4
1996,5,19,11.0
1996,5,20,12.7
1996,5,21,12.9
1996,5,22,12.9
1996,5,23,13.3
1996,5,24,12.8
1996,5,25,12.8
1996,5,26,13.3
1996,5,27,15.2
1996,5,28,14.4
1996,5,29,15.0
1996,5,30,21.4
1996,5,31,14.2
1996,6,1,13.4
1996,6,2,14.5
1996,6,3,13.2
1996,6,4,15.6
1996,6,5,17.6
1996,6,6,21.5
1996,6,7,16.6
1996,6,8,15.1
1996,6,9,18.9
1996,6,10,17.1
1996,6,11,16.5
1996,6,12,14.5
1996,6,13,15.1
1996,6,14,17.9
1996,6,15,21.2
1996,6,16,23.0
1996,6,17,17.2
1996,6,18,17.6
1996,6,19,18.1
1996,6,20,13.9
1996,6,21,13.5
1996,6,22,14.6
1996,6,23,15.9
1996,6,24,15.7
1996,6,25,17.0
1996,6,26,17.5
1996,6,27,17.4
1996,6,28,15.1
1996,6,29,13.0
1996,6,30,14.8
1996,7,1,14.2
1996,7,2,14.9
1996,7,3,15.5
1996,7,4,15.6
1996,7,5,14.6
1996,7,6,14.1
1996,7,7,15.9
1996,7,8,14.1
1996,7,9,16.2
1996,7,10,17.7
1996,7,11,15.6
1996,7,12,18.3
1996,7,13,17.1
1996,7,14,15.3
1996,7,15,19.7
1996,7,16,19.3
1996,7,17,20.9
1996,7,18,23.2
1996,7,19,23.8
1996,7,20,21.5
1996,7,21,22.9
1996,7,22,24.1
1996,7,23,20.3
1996,7,24,17.2
1996,7,25,18.1
1996,7,26,16.4
1996,7,27,17.4
1996,7,28,17.1
1996,7,29,19.2
1996,7,30,17.3
1996,7,31,17.0
1996,8,1,16.2
1996,8,2,16.9
1996,8,3,17.9
1996,8,4,21.5
1996,8,5,23.9
1996,8,6,16.6
1996,8,7,16.0
1996,8,8,17.9
1996,8,9,20.3
1996,8,10,19.8
1996,8,11,18.7
1996,8,12,21.0
1996,8,13,19.1
1996,8,14,20.8
1996,8,15,22.5
1996,8,16,20.7
1996,8,17,22.8
1996,8,18,27.2
1996,8,19,25.5
1996,8,20,21.6
1996,8,21,18.9
1996,8,22,18.8
1996,8,23,20.0
1996,8,24,16.9
1996,8,25,16.6
1996,8,26,15.5
1996,8,27,18.3
1996,8,28,17.1
1996,8,29,18.2
1996,8,30,17.0
1996,8,31,16.8
